Initially the price is: $10.00
On day 1 price is: $9.89
On day 2 price is: $10.28
On day 3 price is: $10.00
On day 4 price is: $11.03
On day 5 price is: $10.68
On day 6 price is: $12.08
On day 7 price is: $12.53
On day 8 price is: $13.78
On day 9 price is: $15.14
On day 10 price is: $17.50
On day 11 price is: $17.80
On day 12 price is: $18.59
On day 13 price is: $18.19
On day 14 price is: $19.29
On day 15 price is: $18.38
On day 16 price is: $21.32
On day 17 price is: $24.56
On day 18 price is: $27.80
On day 19 price is: $29.12
On day 20 price is: $33.50
On day 21 price is: $33.02
On day 22 price is: $37.93
On day 23 price is: $37.22
On day 24 price is: $36.95
On day 25 price is: $39.87
On day 26 price is: $38.52
On day 27 price is: $37.22
On day 28 price is: $35.92
On day 29 price is: $35.59
On day 30 price is: $37.23
On day 31 price is: $40.80
On day 32 price is: $39.99
On day 33 price is: $46.62
On day 34 price is: $45.89
On day 35 price is: $53.88
On day 36 price is: $52.37
On day 37 price is: $61.05
On day 38 price is: $69.66
On day 39 price is: $67.28
On day 40 price is: $70.89
On day 41 price is: $69.04
On day 42 price is: $65.83
On day 43 price is: $75.68
On day 44 price is: $85.61
On day 45 price is: $88.50
On day 46 price is: $92.87
On day 47 price is: $92.02
On day 48 price is: $91.68
On day 49 price is: $101.30
